
======================================================
CATEGORIA XTREAM: ABERTOS (Total: 64 canais)
======================================================
  • Nome na API: 'Rd Tv Correio' | Normalizado: 'RD TV CORREIO' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Tv Goiania' | Normalizado: 'RD TV GOIANIA' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Rd Tv Litoral Santos' | Normalizado: 'RD TV LITORAL SANTOS' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Tv Cidade Verde MT' | Normalizado: 'TV CIDADE VERDE MT' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'
  • Nome na API: 'Tv Pajuçara' | Normalizado: 'TV PAJUCARA' | EPG ID da lista: 'RecordTVSaoPaulo.br@SD'

======================================================
CATEGORIA XTREAM: BAND (Total: 15 canais)
======================================================
  • Nome na API: 'Band' | Normalizado: 'BAND' | EPG ID da lista: 'BandSaoPaulo.br@SD'
  • Nome na API: 'Band' | Normalizado: 'BAND' | EPG ID da lista: 'band.sao.paulo.br'
  • Nome na API: 'Bd Bahia' | Normalizado: 'BD BAHIA' | EPG ID da lista: 'ZooMoo.sg@SD'
  • Nome na API: 'Bd Campinas' | Normalizado: 'BD CAMPINAS' | EPG ID da lista: 'br#band-campinas'
  • Nome na API: 'Bd RJ' | Normalizado: 'BD RJ' | EPG ID da lista: 'ZooMoo.sg@SD'
  • Nome na API: 'Bd RJ' | Normalizado: 'BD RJ' | EPG ID da lista: 'ZooMoo.sg@SD'
  • Nome na API: 'Bd RS' | Normalizado: 'BD RS' | EPG ID da lista: 'ZooMoo.sg@SD'
  • Nome na API: 'Bd Recife Tv Tribuna' | Normalizado: 'BD RECIFE TV TRIBUNA' | EPG ID da lista: 'ZooMoo.sg@SD'
  • Nome na API: 'Bd Rn' | Normalizado: 'BD RN' | EPG ID da lista: 'BandSaoPaulo.br@SD'
  • Nome na API: 'Bd SP' | Normalizado: 'BD SP' | EPG ID da lista: 'band.sao.paulo.br'
  • Nome na API: 'Bd SP' | Normalizado: 'BD SP' | EPG ID da lista: 'ZooMoo.sg@SD'
  • Nome na API: 'Bd SP' | Normalizado: 'BD SP' | EPG ID da lista: 'band.sao.paulo.br'
  • Nome na API: 'Bd SP Hd¹' | Normalizado: 'BD SP HD1' | EPG ID da lista: 'ZooMoo.sg@SD'
  • Nome na API: 'Redetv Manaira' | Normalizado: 'REDETV MANAIRA' | EPG ID da lista: 'BandSaoPaulo.br@SD'
  • Nome na API: 'Tv Manaira' | Normalizado: 'TV MANAIRA' | EPG ID da lista: 'BandSaoPaulo.br@SD'
